"","Frost_Input_CKA.variable","evpi_mobile_windmachine_CKA","evpi_candles_CKA","evpi_stationary_windmachine_CKA","evpi_ov_irrigation_CKA","evpi_ut_irrigation_CKA","evpi_frostbuster_CKA","evpi_frostguard_CKA","evpi_heaters_CKA"
"1","approval_costs_stationary_windmachine",0,0,0,0,0,0,0,0
"2","area_performance_frostbuster",0,0,0,0,0,0,0,0
"3","area_performance_frostguard",0,0,0,0,0,0,0,0
"4","area_performance_mobile_windmachine",0,0,0,0,0,0,0,0
"5","area_performance_stationary_windmachine",0,0,0,0,0,0,0,0
"6","candle_places_per_ha",0,0.560124690404405,0,0,0,0,0,0
"7","candle_price",0,0,0,0,0,0,0,0
"8","costs_fire_damage",0,0,0,0,0,0,0,0
"9","costs_ignition_material",0,0,0,0,0,0,0,0
"10","discount_rate",0,0,0,0,0,0,0,0
"11","disposal_cost_per_candle",0,0,0,0,0,0,0,0
"12","establishment_costs_per_ha",0,0,0,0,0,0,0,0
"13","fire_damage_risk_candles",0,0,0,0,0,0,0,0
"14","fire_damage_risk_heaters",0,0,0,0,0,0,0,0
"15","first_protection_year",0,0,0,0,0,0,0,0
"16","first_yield_percent",0,0,0,0,0,0,0,0
"17","frost_monitoring_costs",0,0,0,0,0,0,0,0
"18","frostbuster_price",0,0,0,0,0,0,0,0
"19","frostguard_price",0,0,0,0,0,0,0,0
"20","fuel_consumption_stationary_windmachine",0,0,0,0,0,0,0,0
"21","gas_bottle_deposit",0,0,0,0,0,0,0,0
"22","gas_bottle_fill_price",0,0,0,0,0,0,0,0
"23","gas_bottle_volume",0,0,0,0,0,0,0,0
"24","gas_bottles_frostguard",0,0,0,0,0,0,0,0
"25","gas_consumption_frostbuster",0,0,0,0,0,0,0,0
"26","gas_consumption_frostguard",0,0,0,0,0,0,0,0
"27","gas_storage_n_nights",0,0,0,0,0,0,0,0
"28","heater_price",0,0,0,0,0,0,0,0
"29","heaters_needed_per_ha",0,0,0,0,0,0,0,0
"30","hourly_wage_worker",0,0,0,0,0,0,0,0
"31","installation_costs_stationary_windmachine",0,0,0,0,0,0,0,0
"32","mean_bottle_change_frostguard",0,0,0,0,0,0,0,0
"33","mean_burning_time_candles",0,0,0,0,0,0,0,0
"34","mean_candles_changed_per_h",0,0,0,0,0,0,0,0
"35","mean_candles_extinguished_per_h",0,0,0,0,0,0,0,0
"36","mean_candles_ignited_per_h",0,0,0,0,0,0,0,0
"37","mean_candles_placed_per_h",0,0,0,0,0,0,0,0
"38","mean_candles_removed_per_h",0,0,0,0,0,0,0,0
"39","mean_cost_change_frost",0,0,0,0,0,0,0,0
"40","mean_costs_additional_fertilizer_ut_irrigation",0,0,0,0,0,0,0,0
"41","mean_costs_additional_plant_protection_ov_irrigation",0,0,0,0,0,0,0,0
"42","mean_costs_handle_branch_fracture",0,0,0,0,0,0,0,0
"43","mean_costs_handle_pseudomonas",0,0,0,0,0,0,0,0
"44","mean_costs_handle_waterlogging",0,0,0,0,0,0,0,0
"45","mean_diesel_price",0,0,0,0,0,0,0,0
"46","mean_efficiency_candles",0,0,0,0,0,0,0,0
"47","mean_efficiency_frostbuster",0,0,0,0,0,0,0,0
"48","mean_efficiency_frostguard",0,0,0,0,0,0,0,0
"49","mean_efficiency_heaters",0,0,0,0,0,0,0,0
"50","mean_efficiency_ov_irrigation",0,0,0,0,0,0,0,0
"51","mean_efficiency_reduce_smaller_problem_candles",0,0,0,0,0,0,0,0
"52","mean_efficiency_reduce_smaller_problem_frostbuster",0,0,0,0,0,0,0,0
"53","mean_efficiency_reduce_smaller_problem_frostguard",0,0,0,0,0,0,0,0
"54","mean_efficiency_reduce_smaller_problem_heaters",0,0,0,0,0,0,0,0
"55","mean_efficiency_reduce_smaller_problem_ov_irrigation",0,0,0,0,0,0,0,0
"56","mean_efficiency_reduce_smaller_problem_ut_irrigation",0,0,0,0,0,0,0,0
"57","mean_efficiency_reduce_smaller_problem_windmachine",0,0,0,0,0,0,0,0
"58","mean_efficiency_ut_irrigation",0,0,0,0,0,0,0,0
"59","mean_efficiency_windmachine",0,0,13.992865537589,0,0,0,0,0
"60","mean_fuel_consumption_mobile_windmachine",0,0,0,0,0,0,0,0
"61","mean_fuel_consumption_tractor_frostbuster",0,0,0,0,0,0,0,0
"62","mean_harvest_costs",0,0,0,0,0,0,0,0
"63","mean_heater_covers_removed_per_h",0,0,0,0,0,0,0,0
"64","mean_heater_deconstruction_time",0,0,0,0,0,0,0,0
"65","mean_heater_preparation_time",0,0,0,0,0,0,0,0
"66","mean_heaters_ignited_per_h",0,0,0,0,0,0,0,0
"67","mean_maintenance_costs_frostbuster",0,0,0,0,0,0,0,0
"68","mean_maintenance_costs_frostguard",0,0,0,0,0,0,0,0
"69","mean_maintenance_costs_heaters",0,0,0,0,0,0,0,0
"70","mean_maintenance_costs_mobile_windmachine",0,0,0,0,0,0,0,0
"71","mean_maintenance_costs_ov_irrigation",0,0,0,0,0,0,0,0
"72","mean_maintenance_costs_stationary_windmachine",0,0,0,0,0,0,0,0
"73","mean_maintenance_costs_ut_irrigation",0,0,0,0,0,0,0,0
"74","mean_mulching_material_costs",0,0,0,0,0,0,0,0
"75","mean_mulching_time_consumption",0,0,0,0,0,0,0,0
"76","mean_n_starts_unnecessary",0,0,0,0,0,0,0,0
"77","mean_pellet_price",0,0,0,0,0,0,0,0
"78","mean_pellet_refill_time_heaters",0,0,0,0,0,0,0,0
"79","mean_production_costs",0,0,0,0,0,0,0,0
"80","mean_pump_operating_costs",0,0,0,0,0,0,0,0
"81","mean_setup_time_frostbuster",0,0,0,0,0,0,0,0
"82","mean_setup_time_frostguard",0,0,0,0,0,0,0,0
"83","mean_setup_time_mobile_windmachine",0,0,0,0,0,0,0,0
"84","mean_start_stop_time_mobile_windmachine",0,0,0,0,0,0,0,0
"85","mean_start_stop_time_stationary_windmachine",0,0,0,0,0,0,0,0
"86","mean_yield",0,0,0,0,0,0,0,0
"87","mean_yield_loss_burns_frostbuster",0,0,0,0,0,0,0,0
"88","mean_yield_loss_burns_frostguard",0,0,0,0,0,0,0,0
"89","mean_yield_loss_frost",0,0,54.5807600222093,0,0,0,0,0
"90","mobile_windmachine_price",0,0,0,0,0,0,0,0
"91","n_years",0,0,0,0,0,0,0,0
"92","pellet_need_heaters",0,0,0,0,0,0,0,0
"93","pellets_in_heater",0,0,0,0,0,0,0,0
"94","planning_cost_frost_protection",0,0,0,0,0,0,0,0
"95","pond_costs",0,0,0,0,0,0,0,0
"96","pond_dimensioning_irrigation",0,0,0,0,0,0,0,0
"97","price_increase_frost",0,0,0,0,0,0,0,0
"98","pump_and_filter_costs_ov_irrigation",0,0,0,0,0,0,0,0
